user_id,app_version,platform,session_duration,number_of_sessions,country,user_feedback
1,1.2,Android,109,11,France,1
2,1.3,Android,116,17,UK,2
3,1.0,Android,94,13,France,5
4,1.2,Ios,47,1,Canada,4
5,1.2,Ios,99,2,Canada,3
6,1.3,Android,55,9,Germany,4
7,1.0,Ios,168,3,Mexico,2
8,1.0,Ios,52,1,Canada,4
9,1.2,Ios,144,16,USA,1
10,1.1,Ios,13,6,France,2
11,1.2,Ios,114,17,France,3
12,1.2,Android,124,5,Germany,1
13,1.2,Ios,106,5,Spain,2
14,1.2,Android,158,6,Spain,3
15,1.3,Android,147,3,UK,1
16,1.0,Ios,145,5,Germany,1
17,1.3,Android,120,5,Italy,2
18,1.3,Android,63,10,UK,5
19,1.3,Android,19,10,Italy,1
20,1.2,Ios,92,19,Spain,1
21,1.1,Ios,58,17,Germany,3
22,1.0,Android,90,14,Italy,4
23,1.1,Ios,117,9,Germany,2
24,1.3,Ios,62,14,Germany,2
25,1.3,Ios,23,1,Spain,5
26,1.1,Ios,127,19,UK,5
27,1.1,Android,137,13,UK,2
28,1.1,Android,140,13,Germany,5
29,1.3,Ios,129,4,Canada,3
30,1.3,Ios,58,1,Mexico,2
31,1.0,Android,122,17,Spain,5
32,1.0,Android,1,8,Mexico,2
33,1.3,Ios,34,2,Mexico,4
34,1.1,Android,96,8,UK,1
35,1.1,Ios,126,7,UK,2
36,1.0,Ios,118,2,Canada,1
37,1.3,Android,48,3,Mexico,5
38,1.0,Android,89,18,Mexico,1
39,1.0,Ios,117,12,Germany,2
40,1.2,Ios,129,1,UK,4
41,1.2,Android,16,12,Mexico,5
42,1.2,Ios,69,5,France,2
43,1.1,Android,22,17,Canada,5
44,1.3,Ios,93,16,Italy,3
45,1.3,Android,76,15,France,1
46,1.3,Android,154,15,France,3
47,1.3,Android,144,5,Italy,2
48,1.2,Ios,179,14,Spain,4
49,1.1,Ios,86,2,Spain,5
50,1.1,Android,29,11,Canada,1
51,1.2,Ios,69,19,France,5
52,1.1,Android,47,7,Mexico,2
53,1.2,Android,94,6,UK,5
54,1.3,Ios,144,2,Canada,1
55,1.2,Ios,176,6,Germany,2
56,1.3,Android,85,18,Italy,5
57,1.3,Ios,39,2,France,4
58,1.0,Ios,100,18,Canada,2
59,1.2,Android,33,15,USA,2
60,1.0,Android,101,19,USA,4
61,1.2,Ios,23,2,Spain,3
62,1.2,Android,10,6,Italy,1
63,1.0,Android,69,1,UK,3
64,1.0,Ios,100,15,Mexico,5
65,1.2,Android,34,10,UK,4
66,1.1,Android,138,19,UK,3
67,1.3,Ios,147,17,UK,2
68,1.0,Ios,96,5,Italy,5
69,1.3,Android,1,4,UK,5
70,1.1,Android,69,10,Germany,3
71,1.1,Ios,4,17,Italy,3
72,1.1,Ios,16,10,Germany,4
73,1.0,Ios,24,17,Italy,1
74,1.1,Ios,80,5,Spain,3
75,1.0,Android,2,2,Canada,3
76,1.1,Ios,128,6,USA,2
77,1.3,Ios,160,2,UK,5
78,1.3,Android,84,13,Spain,1
79,1.2,Ios,152,11,Canada,2
80,1.3,Android,140,11,USA,4
81,1.2,Ios,178,16,France,4
82,1.3,Ios,163,11,Mexico,3
83,1.0,Ios,124,19,Germany,3
84,1.3,Android,33,15,France,4
85,1.2,Android,161,16,Italy,3
86,1.2,Ios,179,11,USA,1
87,1.1,Android,171,16,France,3
88,1.0,Android,101,8,Mexico,5
89,1.3,Android,12,4,Spain,3
90,1.1,Android,67,8,USA,2
91,1.3,Android,65,4,France,1
92,1.3,Android,161,3,Germany,2
93,1.1,Ios,168,3,Germany,2
94,1.1,Ios,74,18,Canada,5
95,1.1,Android,43,19,France,1
96,1.1,Ios,44,19,UK,1
97,1.1,Ios,29,5,France,1
98,1.3,Ios,141,18,Spain,1
99,1.1,Ios,12,10,USA,1
100,1.0,Android,95,6,USA,5
101,1.2,Ios,46,1,Spain,3
102,1.1,Ios,130,5,France,2
103,1.1,Android,35,9,Spain,1
104,1.3,Android,81,12,Mexico,3
105,1.1,Ios,90,14,Italy,3
106,1.1,Ios,8,2,Spain,2
107,1.1,Ios,93,17,Germany,5
108,1.3,Ios,154,14,Spain,4
109,1.1,Ios,90,13,USA,4
110,1.2,Ios,162,9,Germany,3
111,1.3,Android,115,15,USA,2
112,1.2,Ios,105,15,Canada,4
113,1.3,Ios,135,11,UK,3
114,1.1,Android,58,16,USA,5
115,1.2,Android,114,17,Germany,4
116,1.3,Android,75,4,Canada,3
117,1.0,Android,157,1,USA,3
118,1.1,Ios,120,8,Mexico,1
119,1.3,Ios,164,17,Spain,5
120,1.0,Ios,21,3,UK,1
121,1.3,Ios,164,15,USA,2
122,1.0,Ios,138,15,Canada,1
123,1.1,Ios,101,14,Mexico,1
124,1.2,Android,152,14,France,4
125,1.0,Ios,177,2,Canada,3
126,1.3,Android,99,13,Spain,5
127,1.1,Android,36,14,Canada,1
128,1.0,Ios,96,19,Mexico,5
129,1.3,Android,152,7,Canada,1
130,1.3,Ios,151,3,Mexico,2
131,1.3,Android,37,15,USA,1
132,1.0,Ios,12,14,Italy,4
133,1.0,Android,113,11,Mexico,3
134,1.0,Ios,13,15,Mexico,2
135,1.2,Ios,23,13,UK,1
136,1.0,Ios,99,18,Mexico,5
137,1.0,Ios,105,6,Mexico,2
138,1.0,Ios,30,3,France,2
139,1.2,Android,17,19,Italy,1
140,1.0,Android,113,15,USA,2
141,1.3,Android,62,5,Spain,5
142,1.0,Ios,84,10,UK,2
143,1.3,Android,112,7,France,5
144,1.3,Ios,86,17,Germany,1
145,1.3,Ios,141,7,Italy,3
146,1.2,Android,19,12,USA,2
147,1.2,Android,177,17,USA,3
148,1.2,Ios,100,13,Germany,5
149,1.0,Android,140,4,Spain,2
150,1.3,Ios,147,10,Mexico,4
151,1.2,Ios,76,3,France,3
152,1.2,Ios,9,9,Canada,2
153,1.0,Ios,28,13,UK,3
154,1.2,Ios,128,18,Canada,2
155,1.0,Android,52,15,Germany,1
156,1.1,Android,83,4,USA,3
157,1.2,Ios,111,15,Spain,4
158,1.1,Ios,144,2,USA,4
159,1.0,Android,117,15,UK,5
160,1.3,Android,69,8,USA,2
161,1.2,Ios,99,8,USA,3
162,1.0,Android,140,17,UK,5
163,1.3,Ios,25,12,France,3
164,1.3,Android,123,19,France,2
165,1.1,Ios,53,10,UK,4
166,1.0,Android,151,9,Spain,1
167,1.3,Ios,144,5,Germany,4
168,1.2,Android,57,6,Italy,5
169,1.2,Android,39,2,USA,1
170,1.1,Ios,109,13,Spain,5
171,1.3,Android,42,6,USA,2
172,1.0,Ios,167,5,Italy,1
173,1.2,Android,142,1,Germany,5
174,1.3,Ios,122,6,France,2
175,1.3,Android,133,6,Spain,4
176,1.1,Ios,163,16,Mexico,2
177,1.2,Android,75,4,Mexico,3
178,1.2,Ios,146,11,Italy,2
179,1.0,Android,76,9,Mexico,2
180,1.2,Ios,9,3,France,3
181,1.0,Ios,74,19,Italy,5
182,1.2,Ios,145,8,France,5
183,1.1,Android,7,5,Germany,2
184,1.2,Ios,174,4,USA,3
185,1.0,Android,141,6,Germany,3
186,1.0,Ios,168,2,Germany,4
187,1.1,Android,170,11,France,5
188,1.2,Ios,137,4,Italy,1
189,1.2,Android,178,15,Italy,5
190,1.1,Android,27,6,Mexico,5
191,1.2,Ios,122,17,Canada,4
192,1.2,Android,5,6,USA,1
193,1.0,Android,29,19,France,4
194,1.2,Ios,165,2,Mexico,1
195,1.2,Android,166,15,Spain,2
196,1.1,Android,83,11,Canada,1
197,1.1,Android,136,8,Canada,4
198,1.3,Ios,109,19,France,5
199,1.0,Android,65,13,UK,1
200,1.2,Ios,86,12,USA,1
201,1.2,Android,145,5,Canada,3
202,1.3,Android,71,6,France,5
203,1.2,Android,45,4,France,2
204,1.0,Ios,132,19,Mexico,4
205,1.3,Android,36,1,Spain,2
206,1.0,Android,70,17,UK,5
207,1.3,Ios,159,12,USA,1
208,1.3,Android,19,15,Italy,1
209,1.1,Ios,108,1,Germany,5
210,1.0,Ios,167,14,Spain,1
211,1.2,Android,91,6,Spain,1
212,1.2,Ios,90,5,Mexico,1
213,1.0,Android,19,11,Italy,4
214,1.2,Ios,39,4,Canada,4
215,1.2,Ios,126,13,Canada,3
216,1.0,Android,173,11,Mexico,2
217,1.3,Ios,141,3,France,5
218,1.0,Ios,126,1,Canada,5
219,1.3,Ios,58,6,UK,5
220,1.2,Ios,148,18,USA,3
221,1.2,Ios,61,10,Spain,4
222,1.2,Android,127,5,Spain,3
223,1.1,Ios,105,10,UK,5
224,1.3,Android,167,12,Italy,2
225,1.1,Ios,1,2,Canada,1
226,1.1,Android,131,13,Spain,4
227,1.0,Android,92,8,Germany,4
228,1.1,Ios,113,2,Italy,3
229,1.0,Ios,153,1,USA,4
230,1.0,Ios,56,5,USA,5
231,1.1,Android,161,9,Spain,5
232,1.3,Ios,166,17,Mexico,3
233,1.3,Android,117,9,Italy,5
234,1.3,Android,134,11,Spain,2
235,1.3,Android,58,15,Mexico,3
236,1.3,Ios,44,6,Spain,2
237,1.1,Ios,173,3,Germany,1
238,1.1,Android,160,17,Italy,2
239,1.2,Android,173,5,France,1
240,1.3,Ios,61,12,USA,1
241,1.1,Android,47,18,Spain,2
242,1.2,Ios,149,14,Germany,3
243,1.3,Android,80,11,Mexico,5
244,1.0,Ios,118,9,Mexico,5
245,1.2,Android,164,2,USA,1
246,1.1,Ios,147,12,UK,1
247,1.0,Android,20,3,Spain,3
248,1.0,Ios,146,3,Italy,4
249,1.0,Ios,47,1,Canada,2
250,1.2,Android,49,8,Mexico,1
251,1.1,Android,14,8,Italy,5
252,1.0,Ios,143,11,Italy,3
253,1.3,Android,159,9,France,2
254,1.0,Ios,1,5,Italy,3
255,1.0,Android,117,14,Italy,2
256,1.2,Ios,54,3,France,2
257,1.2,Ios,118,5,Mexico,1
258,1.1,Ios,3,5,Italy,3
259,1.3,Ios,144,19,UK,3
260,1.2,Ios,12,14,UK,5
261,1.0,Ios,74,4,Germany,5
262,1.1,Android,16,13,France,1
263,1.0,Android,102,10,Germany,1
264,1.0,Android,152,18,France,4
265,1.2,Ios,156,8,Spain,5
266,1.1,Ios,117,8,Spain,2
267,1.3,Ios,8,7,Italy,3
268,1.3,Ios,122,8,Canada,1
269,1.2,Android,92,14,Spain,3
270,1.2,Android,164,19,Canada,3
271,1.1,Ios,90,6,Spain,4
272,1.3,Android,136,1,USA,5
273,1.3,Android,60,15,Spain,1
274,1.3,Ios,178,1,Germany,3
275,1.0,Android,28,17,Mexico,1
276,1.3,Ios,101,1,Italy,2
277,1.0,Android,41,15,Germany,4
278,1.1,Ios,155,2,Mexico,2
279,1.0,Ios,145,14,UK,1
280,1.1,Ios,161,8,Germany,1
281,1.3,Ios,157,8,UK,5
282,1.3,Android,141,19,Canada,3
283,1.1,Ios,46,7,Canada,3
284,1.2,Ios,35,19,USA,2
285,1.1,Ios,134,6,Spain,4
286,1.2,Android,82,6,Germany,3
287,1.0,Ios,115,3,UK,5
288,1.0,Android,47,7,Mexico,2
289,1.0,Ios,153,19,Canada,2
290,1.3,Android,10,8,Spain,5
291,1.0,Android,56,10,Canada,4
292,1.2,Ios,30,15,Mexico,5
293,1.0,Android,109,15,Spain,4
294,1.1,Ios,5,1,Spain,5
295,1.1,Ios,119,7,UK,5
296,1.3,Ios,33,4,UK,1
297,1.1,Android,118,6,Germany,2
298,1.2,Android,65,1,Germany,5
299,1.0,Ios,146,5,France,5
300,1.3,Ios,177,1,Italy,3
